x y
-33.64833450317383 -15.355145454406738 7
9.254900932312012 7.507993698120117 9
-42.90251922607422 7.95469331741333 0
-14.769282341003418 6.879866600036621 0
-22.61170768737793 -29.165678024291992 7
-7.761088848114014 -23.658588409423828 7
-7.902011871337891 -22.737751007080078 7
-4.482950210571289 -23.460405349731445 7
-6.770889759063721 -20.971940994262695 7
-32.909664154052734 4.261787414550781 7
-32.91822814941406 4.279855728149414 7
-13.458331108093262 32.656551361083984 1
-7.884401798248291 -24.419734954833984 7
-6.239584445953369 -21.956260681152344 7
-3.884535551071167 -23.06566619873047 7
-4.587595462799072 -21.461301803588867 7
-34.62284469604492 4.546887397766113 7
-34.64475631713867 4.586173057556152 7
-5.835145950317383 -23.585256576538086 7
-6.239584445953369 -21.956260681152344 7
-40.64222717285156 -12.48312759399414 7
54.3627815246582 25.059635162353516 4
54.81336212158203 21.890024185180664 4
55.51351547241211 21.435428619384766 4
54.8134880065918 21.890037536621094 4
55.22254180908203 23.173484802246094 4
-65.85106658935547 -17.06189727783203 4
56.50193786621094 22.191097259521484 4
-42.29978561401367 19.39542579650879 9
-3.671215295791626 51.86958694458008 9
48.44073486328125 29.800046920776367 4
-47.37569046020508 8.946893692016602 4
-47.374263763427734 8.95190715789795 4
25.037431716918945 34.65645217895508 4
25.047664642333984 34.67798614501953 4
8.643495559692383 58.01805114746094 2
7.922826290130615 44.215641021728516 3
8.68140697479248 44.11527633666992 3
8.50019359588623 40.65248489379883 6
11.364028930664062 38.97644805908203 6
17.76701545715332 35.9937858581543 3
17.4929256439209 37.04625701904297 3
10.938889503479004 40.069095611572266 6
10.293959617614746 40.35215759277344 6
5.895293712615967 42.890777587890625 6
9.634427070617676 40.23027801513672 6
9.285446166992188 36.52870178222656 6
-15.351452827453613 45.47452926635742 1
-10.926218032836914 -46.87051773071289 8
-34.504573822021484 -13.437334060668945 7
-32.42078399658203 -21.760181427001953 7
-32.415428161621094 -21.76860809326172 7
-31.9443302154541 -12.308871269226074 7
-19.693050384521484 36.60234069824219 1
-18.816267013549805 -27.381134033203125 1
-18.33238410949707 -27.410600662231445 1
-18.65924835205078 -27.447677612304688 1
-16.840190887451172 -28.023378372192383 1
-19.00311279296875 -28.67540168762207 1
-18.694427490234375 -30.36458396911621 1
-16.46068572998047 -27.81050682067871 1
-17.260622024536133 -27.325159072875977 1
-16.063114166259766 -30.22386360168457 1
-16.53436279296875 -30.16082763671875 1
-15.925997734069824 -30.187532424926758 1
-17.980195999145508 -30.30565071105957 1
4.743772029876709 -13.439591407775879 1
4.519254684448242 -12.97905158996582 1
5.347943305969238 -12.779730796813965 1
4.517403602600098 -14.386001586914062 1
4.55661678314209 -13.920937538146973 1
4.902896881103516 -12.77208137512207 1
19.028539657592773 -9.233349800109863 1
9.572455406188965 -10.426055908203125 1
9.667571067810059 -10.394774436950684 1
40.233619689941406 41.388492584228516 4
49.15315246582031 28.39536476135254 4
37.24504852294922 41.20352554321289 4
38.842376708984375 38.655967712402344 4
36.21855926513672 33.754676818847656 4
35.60383605957031 33.08720779418945 4
38.09697723388672 42.38689041137695 4
38.098609924316406 42.38595199584961 4
38.440887451171875 32.3795166015625 4
38.88429641723633 32.45750045776367 4
38.9065055847168 32.46564865112305 4
48.54631805419922 29.818401336669922 4
40.143829345703125 37.30165100097656 4
39.73528289794922 37.72165298461914 4
38.84284973144531 38.65662384033203 4
40.736961364746094 34.81318664550781 4
40.736961364746094 34.81318664550781 4
20.26923942565918 57.22538757324219 4
-14.45003890991211 -8.57946491241455 4
42.92022705078125 28.886499404907227 4
43.99161148071289 27.94832992553711 4
42.91921615600586 28.88640594482422 4
43.29393005371094 45.94024658203125 9
52.104732513427734 20.376388549804688 4
37.24504852294922 41.20352554321289 4
57.32366180419922 30.425048828125 4
50.624759674072266 30.616065979003906 4
45.94190216064453 23.37857437133789 0
-18.163013458251953 23.09898567199707 1
-18.16323471069336 23.098590850830078 1
43.988948822021484 27.94968605041504 4
57.37742614746094 31.192190170288086 4
47.378089904785156 36.859073638916016 4
-45.86174011230469 -25.38087272644043 4
37.35725021362305 29.797760009765625 4
44.4577751159668 25.849584579467773 4
44.75218963623047 41.069236755371094 4
35.13916015625 48.568748474121094 4
44.647979736328125 45.65470504760742 9
43.65910720825195 46.08690643310547 9
-17.631742477416992 11.197893142700195 0
6.337550640106201 8.530447006225586 0
-6.312019348144531 32.53244400024414 5
-26.187772750854492 2.251866579055786 0
-27.881818771362305 3.8123979568481445 0
-7.657170295715332 37.57034683227539 5
44.497859954833984 -34.72267532348633 0
43.7830696105957 -34.82130432128906 0
44.22084045410156 -34.27538299560547 0
43.13256072998047 -35.72982406616211 0
44.75439453125 -34.6014404296875 0
44.03905487060547 -35.098567962646484 0
44.1458854675293 -35.52793884277344 0
44.4875373840332 -36.01633071899414 0
43.485565185546875 -34.36640167236328 0
-45.832157135009766 -12.658243179321289 8
-45.651790618896484 -12.658902168273926 8
-30.996110916137695 -30.365903854370117 0
46.924659729003906 -32.08052062988281 0
-38.05939865112305 1.6693252325057983 0
-26.272825241088867 -20.36639976501465 0
-20.39406394958496 4.617469310760498 2
13.651308059692383 57.80138397216797 5
70.89956665039062 -6.999685764312744 5
20.438928604125977 58.23897171020508 5
-16.11239242553711 6.83511209487915 2
-16.112287521362305 6.835145950317383 7
-0.9112224578857422 -8.574658393859863 0
-12.590149879455566 13.412565231323242 2
-12.531757354736328 13.499805450439453 2
-2.701420783996582 -7.673964977264404 2
-2.176959991455078 -7.261374473571777 2
-43.866973876953125 39.650753021240234 2
-43.84760284423828 39.5845947265625 2
-43.845367431640625 39.85397720336914 2
-44.03579330444336 39.9498291015625 2
-7.938241481781006 2.199873685836792 2
17.306093215942383 57.12726974487305 2
17.22287940979004 57.063568115234375 2
-3.287137508392334 18.979591369628906 6
19.8905029296875 22.066896438598633 6
-18.0873966217041 -63.74751281738281 9
-25.428037643432617 7.111155033111572 9
-37.92281723022461 -56.53872299194336 8
-37.95577621459961 -56.366371154785156 8
-34.89142990112305 -53.11395263671875 8
-34.94216537475586 -52.89750671386719 8
-62.35952377319336 -24.916364669799805 0
-36.10853576660156 14.071976661682129 0
-36.10853576660156 14.071976661682129 0
-67.61060333251953 -44.70331954956055 8
-67.40450286865234 -44.490638732910156 8
-66.20687103271484 -45.29056167602539 8
-66.2236557006836 -45.170936584472656 8
-68.0519027709961 -44.74266815185547 8
-68.0519027709961 -44.74266815185547 8
-66.28153228759766 -42.853057861328125 8
-66.40750885009766 -42.88494110107422 8
-66.38219451904297 -42.872074127197266 8
-64.70185089111328 -44.564430236816406 8
-64.74010467529297 -44.520389556884766 8
-64.6989517211914 -44.5543098449707 8
-62.165489196777344 -41.60148620605469 8
-61.73863220214844 -41.344722747802734 8
-61.72798538208008 -39.13063049316406 8
-61.74300003051758 -39.117225646972656 8
-61.747318267822266 -39.155086517333984 8
-64.81015014648438 -39.61901092529297 8
-63.899620056152344 -41.88804244995117 8
-65.42627716064453 -39.30210876464844 8
-64.51629638671875 -41.6452751159668 8
-64.60690307617188 -39.365116119384766 8
-63.725563049316406 -41.78642272949219 8
-64.78401184082031 -38.841651916503906 8
-63.820152282714844 -41.05275344848633 8
-65.50971984863281 -38.74308395385742 8
-64.38011169433594 -41.14847946166992 8
-64.6717300415039 -38.645050048828125 8
-63.679080963134766 -41.07013702392578 8
-65.44461822509766 -40.13003158569336 8
-65.898193359375 -39.58026885986328 8
-64.91416931152344 -41.778892517089844 8
-57.62110900878906 -45.43090057373047 8
-57.76298522949219 -45.281917572021484 8
-57.647918701171875 -45.6523323059082 8
-58.74618148803711 -46.58984375 8
-59.02674865722656 -46.31977462768555 8
-58.385528564453125 -46.7684440612793 8
-58.432891845703125 -45.89940643310547 8
-58.940982818603516 -45.608734130859375 8
-57.98170471191406 -46.4815559387207 8
-62.196659088134766 -43.36542510986328 8
-62.25572967529297 -43.40495681762695 8
-62.43954086303711 -43.16257095336914 8
-59.399898529052734 -41.809356689453125 8
-59.404361724853516 -41.79236602783203 8
-59.445919036865234 -41.80080032348633 8
-68.0223159790039 -40.72871780395508 8
-67.9696044921875 -40.72695541381836 8
-68.01982879638672 -40.74972915649414 8
-62.685062408447266 -45.62221145629883 8
-62.6874885559082 -45.618499755859375 8
-62.701602935791016 -45.588199615478516 8
-64.6317367553711 -17.18692970275879 4
51.57670593261719 29.284982681274414 4
-64.75843811035156 -17.080516815185547 4
46.120540618896484 35.974876403808594 4
39.05363845825195 35.652557373046875 4
43.86621856689453 45.08024978637695 9
14.578092575073242 -16.86185073852539 1
51.080101013183594 43.021087646484375 4
52.328731536865234 42.6502571105957 4
52.18581771850586 43.06050491333008 4
52.91424560546875 43.383514404296875 4
52.604774475097656 43.62491989135742 4
52.328731536865234 42.6502571105957 4
52.777591705322266 42.50682830810547 4
53.14823913574219 42.920650482177734 4
52.91424560546875 43.383514404296875 4
51.846614837646484 43.77838134765625 4
-8.073583602905273 12.185757637023926 9
14.46923542022705 20.526418685913086 9
-19.39316177368164 -1.5383374691009521 2
-19.372386932373047 -4.558572292327881 2
51.42570495605469 -2.1301491260528564 1
-65.06410217285156 -16.157655715942383 1
38.74871063232422 35.868370056152344 4
-56.46965408325195 -47.09307861328125 9
19.237865447998047 -51.90166091918945 9
57.61933135986328 2.264277458190918 9
59.044551849365234 -3.4793384075164795 9
-48.893863677978516 1.2381378412246704 9
-48.89395523071289 1.2381532192230225 9
-51.45683670043945 2.5317704677581787 9
-52.31071853637695 2.4658234119415283 9
-48.56378936767578 4.320161819458008 9
-47.94015121459961 -2.2664403915405273 9
-48.56378936767578 4.320165157318115 9
-47.95126724243164 -2.2375245094299316 9
56.50065612792969 3.6926114559173584 9
42.558433532714844 12.112591743469238 5
42.63185501098633 12.03885269165039 5
43.00651550292969 13.434282302856445 5
41.84807205200195 12.815391540527344 5
42.73503112792969 13.484992027282715 5
37.05396270751953 13.235814094543457 5
24.564321517944336 21.537132263183594 5
24.391874313354492 19.49991798400879 5
-10.15361499786377 -35.5409049987793 9
-12.036310195922852 -33.95683670043945 9
-11.82264232635498 -34.14691162109375 9
-5.881089210510254 -4.866887092590332 9
6.569965839385986 -1.050439715385437 9
-10.992823600769043 -33.883548736572266 9
-9.780872344970703 -35.45095443725586 9
-6.768454551696777 -33.50821304321289 9
-1.0469900369644165 11.681112289428711 3
-28.758621215820312 53.59953308105469 5
17.04960823059082 25.201313018798828 5
17.002643585205078 25.246135711669922 5
-13.726347923278809 -4.005873203277588 2
-42.057899475097656 17.594980239868164 9
-41.85477066040039 18.360002517700195 9
6.340743064880371 -8.796945571899414 1
15.648184776306152 -20.478059768676758 1
-15.490484237670898 34.74711227416992 1
-14.739703178405762 24.79303550720215 1
-72.80522155761719 -11.203758239746094 1
-72.80522155761719 -11.203758239746094 1
-36.678897857666016 17.538476943969727 1
-36.70408248901367 17.544757843017578 1
61.25040817260742 -0.2557920217514038 9
59.55636215209961 0.7518191337585449 9
59.42646408081055 0.44345197081565857 9
59.36628723144531 -1.8309571743011475 9
59.02455520629883 -1.0650858879089355 9
21.409360885620117 22.0937442779541 5
33.64071273803711 -18.564502716064453 6
9.501476287841797 33.0816650390625 6
33.64061737060547 -18.564390182495117 6
-45.682315826416016 30.183012008666992 6
7.309351444244385 36.396873474121094 6
5.6064629554748535 -45.404579162597656 6
-45.6822624206543 30.183059692382812 6
14.012094497680664 37.07279968261719 6
14.08696460723877 37.09736251831055 6
11.854456901550293 31.523523330688477 6
-3.248377799987793 -52.745548248291016 6
-4.17695951461792 -50.16911315917969 6
8.487048149108887 34.00136184692383 6
5.60123872756958 -45.410179138183594 6
12.103489875793457 36.617164611816406 6
9.248178482055664 31.98341178894043 6
12.103861808776855 36.61681365966797 6
8.48713207244873 34.001197814941406 6
-17.401548385620117 30.858911514282227 1
-17.406871795654297 31.580791473388672 1
