69,catanl,creall,cprojl,casinl,conjl
70,__wcsrtombs_chk,__wcstombs_chk,__wctomb_chk,__wmemmove_chk,__wmemset_chk
71,_IO_fgets,sendfile64,__ftello64,fseek,__fseeko64
72,pthread_rwlockattr_init,pthread_rwlock_trywrlock,pthread_rwlock_tryrdlock,__pthread_rwlock_wrlock,__pthread_rwlock_rdlock
73,inet6_option_alloc,inet6_option_init,inet6_opt_append,inet6_opt_get_val,inet6_opt_set_val
74,__open_2,__openat_2,openat64,_IO_file_open,open_by_handle_at
75,mktime,utime,utimensat,futimesat,futimens
76,_IO_fwrite,pwritev64,pwritev2,fwrite_unlocked,__libc_pwrite
77,__libc_freeres,calloc,mmap64,__mmap,mmap
78,_IO_str_overflow,xdr_uint16_t,_IO_file_read,__close,tee
79,__strcpy_chk,__stpcpy_chk,__strncpy_chk,__strlcat_chk,__strlcpy_chk
80,__clock_gettime,time,timer_gettime,timespec_get,__gettimeofday
81,sigdelset,__sigaction,sigrelse,sigset,raise
82,cacoshl,ccosl,cacosl,casinhl,casinl
83,__wcsncpy_chk,__wmemmove_chk,__mempcpy_chk,__wmemcpy_chk,__wmempcpy_chk
84,mkstemp,mkstemps,mkostemp64,mkostemps,mkostemp
85,__libc_pvalloc,calloc,__libc_alloc_buffer_alloc_array,__libc_alloc_buffer_allocate,aligned_alloc
86,vswscanf,__isoc23_vfscanf,__isoc23_vscanf,__isoc99_vscanf,vscanf
87,__recv_chk,__ptsname_r_chk,__read_chk,__ppoll_chk,__poll_chk
88,__res_context_search,__res_context_send,__resolv_context_get,__res_context_query,__res_context_mkquery
89,__fpurge,sigstack,__libc_freeres,explicit_bzero,__cxa_atexit
90,regexec,__xpg_strerror_r,error,__strerror_r,regerror
91,fputc,fgetsgent,_IO_wdefault_finish,_IO_peekc_locked,rewind
92,fsqrtl,llogbl,abs,faddl,fabsl
93,__pread64_chk,_IO_fread,__read_chk,__fread_unlocked_chk,__fread_chk
94,__finitel,y1l,expl,nextupl,nextdownl
95,fputwc,putwchar_unlocked,putwc_unlocked,putwchar,putwc
96,strerror,__strncat_chk,hstrerror,err,herror
